1,28755966
10,433977
100,506
1000,1
1003,1
1009,1
101,451
1012,1
1019,1
102,453
1023,1
1026,1
103,409
1036,1
104,467
1042,1
1045,1
1046,1
105,427
106,369
1060,1
107,369
1073,1
108,371
1082,1
1083,1
109,358
11,273494
110,358
111,327
1115,1
112,333
1127,1
113,332
1134,2
1135,1
114,271
115,338
1159,1
116,281
1160,1
1167,1
117,249
1174,1
118,261
119,259
12,214628
120,304
1202,2
121,243
1217,1
122,232
1222,1
1224,1
123,273
1235,1
124,214
125,242
126,205
1266,1
127,214
128,201
129,183
13,171725
130,211
1305,1
131,182
132,193
133,182
1336,1
134,181
135,154
1350,1
136,155
1369,1
137,158
138,163
139,148
14,138710
140,147
1409,1
141,161
1410,1
142,131
143,117
1435,1
1436,1
144,117
145,133
146,135
1460,1
1467,1
147,127
148,127
149,116
1491,1
15,154858
150,147
151,123
152,116
153,96
1539,1
154,108
155,127
156,106
157,105
158,78
159,91
16,113144
160,107
1608,1
161,112
162,76
1620,1
163,88
164,80
1646,1
165,80
166,71
1666,1
167,80
168,68
169,86
17,94740
170,73
171,85
172,62
1725,1
1729,1
173,72
1739,1
174,65
175,88
176,52
1762,1
177,52
178,61
179,61
18,78917
180,67
181,61
182,50
183,52
184,54
185,52
186,56
1862,1
187,55
188,46
189,44
1890,1
19,67472
190,56
191,45
192,54
193,39
194,32
195,49
196,51
1961,1
197,48
198,35
199,50
2,7336825
20,73542
200,47
201,38
202,42
203,50
204,38
205,54
206,38
207,33
208,32
209,33
21,57199
210,41
211,22
212,37
213,24
2130,1
214,28
215,32
216,31
2165,1
217,27
218,26
219,24
22,49236
220,24
221,26
2213,1
222,28
223,16
224,27
225,24
226,22
227,27
228,24
229,27
23,42313
230,17
231,28
232,24
233,22
234,29
235,26
236,19
2368,1
237,19
238,13
2381,1
239,16
24,37337
240,34
241,31
242,19
243,22
244,26
245,20
246,19
247,25
248,16
249,9
25,39488
250,25
251,22
252,18
253,11
254,13
255,19
256,16
257,9
258,18
259,13
26,31985
260,14
261,19
262,14
263,10
264,14
265,18
266,10
267,14
268,18
269,12
27,28478
270,26
271,8
272,9
273,11
274,5
275,10
276,10
277,12
278,19
279,12
28,25211
280,14
281,19
282,12
283,11
284,12
285,11
286,9
287,18
288,15
289,6
29,22302
290,13
291,10
292,11
293,7
294,15
2948,1
295,8
296,13
297,5
298,13
299,5
3,3214271
30,23641
300,17
301,14
302,9
303,9
304,7
305,13
306,6
307,9
308,9
309,4
31,19490
310,9
311,13
312,8
313,6
314,6
315,8
316,9
317,7
318,10
319,11
32,17697
320,12
321,11
322,12
323,9
324,7
325,11
327,7
328,8
329,12
33,15740
330,5
331,5
332,7
333,14
334,6
335,1
336,6
337,4
338,6
339,9
34,14363
340,3
341,2
342,14
343,6
344,3
345,2
346,9
347,5
348,6
349,6
35,15030
350,12
351,6
352,6
353,4
3532,1
3534,1
354,2
355,2
356,10
357,6
358,3
359,8
36,12933
360,7
361,6
362,6
363,4
364,3
365,5
366,3
367,2
368,5
369,1
37,11861
370,4
371,2
372,11
373,3
374,2
375,8
376,2
377,5
379,4
38,10708
380,6
381,1
382,6
383,4
384,3
385,1
386,3
387,1
388,5
389,2
39,9921
390,4
391,6
392,3
393,2
394,1
395,4
396,1
398,1
399,2
4,1805081
40,10278
400,5
401,4
402,2
403,2
404,3
405,4
406,4
407,2
409,4
41,8706
411,4
412,4
413,4
414,3
415,3
416,3
418,1
419,4
42,8048
420,3
421,2
422,5
423,1
424,3
425,4
426,2
427,3
428,3
429,4
43,7428
430,5
431,2
432,2
433,4
434,3
435,6
436,4
438,2
439,1
44,6871
440,2
441,6
442,1
443,4
444,1
445,4
446,1
447,2
448,1
449,3
45,6979
450,2
451,5
452,1
453,4
454,2
455,3
456,2
457,2
458,3
459,1
46,6232
460,1
461,8
462,2
463,1
464,2
466,2
467,3
468,3
469,5
47,5656
470,4
471,2
472,3
473,2
475,2
476,3
477,3
478,2
479,1
48,5237
480,1
481,1
482,2
483,1
484,1
485,1
486,1
487,2
488,1
489,2
49,4942
490,2
491,1
492,3
494,3
495,3
496,4
497,1
498,1
5,2250999
50,5188
500,3
501,2
503,3
505,1
506,2
507,1
508,1
509,1
51,4507
510,5
512,1
514,2
515,1
516,3
518,1
52,4125
520,1
521,2
522,4
523,1
524,1
525,1
526,2
527,1
529,2
53,3952
531,1
533,1
534,1
535,1
536,1
537,1
539,2
54,3607
541,4
542,1
544,1
546,2
55,3859
550,2
551,1
552,1
553,1
554,2
557,1
558,1
559,2
56,3487
560,1
561,1
562,1
563,1
564,2
566,2
568,1
57,3203
570,1
572,2
574,1
575,1
578,2
58,2917
581,1
582,1
584,1
585,1
588,1
589,1
59,2790
591,1
595,2
597,1
598,2
6,1004971
60,2860
600,1
601,3
605,1
606,1
609,1
61,2459
610,2
613,1
614,1
615,3
617,1
619,2
